Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
wget.c, 769, Check stdlibfunc return, overflow
devfsd.c, 1826, Uninitialized memory, overflow
iptunnel.c, 252, Check stdlibfunc return, pointer dereference
mkfs_vfat.c, 646, Xfree, assertion
hexedit.c, 146, Uninitialized memory, overflow
vi.c, 3449, Uninitialized memory, overflow
get_cpu_count.c, 45, Check stdlibfunc return, assertion
hush.c, 8953, Case termination, pointer dereference
lineedit.c, 1436, Uninitialized memory, array bounds
chpasswd.c, 112, Xfree, assertion
d6_dhcpc.c, 399, Xfree, assertion
ls.c, 965, Uninitialized memory, overflow
ln.c, 105, Xfree, assertion
lpr.c, 110, Check stdlibfunc return, pointer dereference
add-remove-shell.c, 130, Xfree, assertion
ntpd.c, 820, Uninitialized memory, overflow
setfiles.c, 262, Check stdlibfunc return, overflow
lineedit.c, 1984, Uninitialized memory, overflow
ash.c, 4568, Uninitialized memory, overflow
iplink.c, 140, Uninitialized memory, overflow
vi.c, 1487, Uninitialized memory, pointer dereference
decompress_gunzip.c, 338, Uninitialized memory, array bounds
dpkg.c, 1393, Uninitialized memory, pointer dereference
ed.c, 241, Check stdlibfunc return, overflow
devfsd.c, 1164, Uninitialized memory, pointer dereference
awk.c, 2457, Uninitialized memory, overflow
mpstat.c, 633, Dead store, pointer dereference
hush.c, 4266, Xfree, assertion
man.c, 324, Check stdlibfunc return, pointer dereference
grep.c, 460, Xfree, assertion
rfkill.c, 131, Uninitialized memory, overflow
flashcp.c, 157, Uninitialized memory, pointer dereference
hush.c, 5728, Dead store, overflow
ash.c, 12769, Uninitialized memory, pointer dereference
fdisk_sun.c, 215, Check stdlibfunc return, array bounds
wget.c, 324, Check stdlibfunc return, overflow
ntpd.c, 1947, Dead store, pointer dereference
getopt.c, 374, Check stdlibfunc return, pointer dereference
ash.c, 7404, Xfree, assertion
bbunzip.c, 171, Dead store, overflow
man.c, 123, Check stdlibfunc return, overflow
dump.c, 485, Uninitialized memory, pointer dereference
hush.c, 9050, Case termination, overflow
popmaildir.c, 244, Xfree, assertion
decompress_unlzma.c, 226, Uninitialized memory, pointer dereference
vi.c, 1345, Uninitialized memory, overflow
dpkg.c, 1202, Check stdlibfunc return, assertion
fdisk_sgi.c, 561, Uninitialized memory, array bounds
less.c, 358, Uninitialized memory, overflow
decompress_unxz.c, 57, Uninitialized memory, overflow
iproute.c, 238, Uninitialized memory, overflow
man.c, 349, Xfree, assertion
cttyhack.c, 139, Check stdlibfunc return, overflow
netstat.c, 676, Xfree, assertion
modprobe.c, 315, Uninitialized memory, pointer dereference
lineedit.c, 2135, Uninitialized memory, array bounds
diff.c, 551, Uninitialized memory, pointer dereference
ipaddress.c, 181, Uninitialized memory, overflow
ipaddress.c, 256, Uninitialized memory, overflow
dd.c, 322, Uninitialized memory, overflow
hexdump.c, 84, Check stdlibfunc return, assertion
vi.c, 1465, Uninitialized memory, overflow
sulogin.c, 85, Check stdlibfunc return, pointer dereference
dnsd.c, 565, Uninitialized memory, overflow
mdev.c, 322, Double free, pointer dereference
acpid.c, 190, Check stdlibfunc return, pointer dereference
ls.c, 652, Dead store, overflow
netstat.c, 635, Uninitialized memory, overflow
vi.c, 1354, Uninitialized memory, overflow
ash.c, 9439, Check stdlibfunc return, overflow
awk.c, 2443, Uninitialized memory, overflow
sestatus.c, 147, Uninitialized memory, array bounds
fsck_minix.c, 624, Uninitialized memory, overflow
interface.c, 574, Uninitialized memory, overflow
svlogd.c, 796, Check stdlibfunc return, overflow
reformime.c, 218, Check stdlibfunc return, assertion
rpm.c, 536, Uninitialized memory, overflow
fbsplash.c, 449, Check stdlibfunc return, assertion
diff.c, 703, Xfree, assertion
iptunnel.c, 497, Uninitialized memory, pointer dereference
hush.c, 3120, Xfree, assertion
readprofile.c, 264, Uninitialized memory, overflow
dpkg.c, 317, Check stdlibfunc return, overflow
procps.c, 224, Check stdlibfunc return, overflow
signals.c, 115, Uninitialized memory, overflow
stty.c, 1432, Uninitialized memory, overflow
crond.c, 466, Uninitialized memory, pointer dereference
ipaddress.c, 174, Uninitialized memory, overflow
getopt32.c, 542, Uninitialized memory, pointer dereference
modutils.c, 63, Double free, pointer dereference
open_transformer.c, 358, Xfree, assertion
ash.c, 10544, Xfree, assertion
setsebool.c, 48, Uninitialized memory, pointer dereference
less.c, 1597, Check stdlibfunc return, pointer dereference
hush.c, 1542, Check stdlibfunc return, assertion
ntpd.c, 1010, Xfree, assertion
awk.c, 2444, Uninitialized memory, overflow
dpkg.c, 929, Xfree, assertion
tls_pstm.c, 672, Dead store, pointer dereference
ls.c, 886, Dead store, pointer dereference
fdisk_osf.c, 467, Dead store, overflow
ipaddress.c, 539, Uninitialized memory, overflow
packet.c, 208, Uninitialized memory, overflow
ll_map.c, 55, Uninitialized memory, overflow
powertop.c, 847, Uninitialized memory, overflow
vi.c, 3015, Uninitialized memory, overflow
iptunnel.c, 506, Uninitialized memory, overflow
ipaddress.c, 353, Uninitialized memory, overflow
sendmail.c, 257, Check stdlibfunc return, pointer dereference
swaponoff.c, 286, Xfree, assertion
get_header_ar.c, 121, Uninitialized memory, pointer dereference
more.c, 217, Check stdlibfunc return, assertion
tr.c, 261, Check stdlibfunc return, overflow
mdev.c, 336, Check stdlibfunc return, overflow
modutils.c, 38, Uninitialized memory, pointer dereference
devfsd.c, 499,  Cfg innnvoid function, assertion
vi.c, 2222, Check stdlibfunc return, overflow
awk.c, 833, Double free, pointer dereference
dd.c, 561, Xfree, assertion
top.c, 580, Uninitialized memory, overflow
d6_packet.c, 71, Uninitialized memory, overflow
iostat.c, 484, Uninitialized memory, pointer dereference
fdisk_sgi.c, 556, Uninitialized memory, array bounds
wget.c, 518, Check stdlibfunc return, pointer dereference
dpkg.c, 738, Xfree, assertion
lineedit.c, 1471, Check stdlibfunc return, assertion
svlogd.c, 786, Double free, pointer dereference
mount.c, 1954, Dead store, pointer dereference
mail.c, 53, Uninitialized memory, overflow
uudecode.c, 144, Xfree, assertion
diff.c, 1046, Check stdlibfunc return, array bounds
wget.c, 1307, Xfree, assertion
ps.c, 794, Uninitialized memory, pointer dereference
runsv.c, 244, Uninitialized memory, overflow
getsebool.c, 78, Xfree, assertion
modprobe.c, 294, Uninitialized memory, pointer dereference
decompress_unxz.c, 133, Xfree, assertion
ash.c, 5926, Check stdlibfunc return, pointer dereference
ipaddress.c, 160, Uninitialized memory, overflow
fdisk_osf.c, 744, Uninitialized memory, pointer dereference
factor.c, 209, Xfree, assertion
mdev.c, 345, Uninitialized memory, pointer dereference
data_extract_to_command.c, 97, Uninitialized memory, pointer dereference
devfsd.c, 610, Uninitialized memory, overflow
diff.c, 931, Xfree, assertion
crond.c, 556, Uninitialized memory, pointer dereference
nmeter.c, 450, Uninitialized memory, pointer dereference
dpkg.c, 1577, Xfree, assertion
hush.c, 7239, Xfree, assertion
init.c, 724, Double free, assertion
ftpd.c, 511, Xfree, assertion
nc.c, 218, Dead store, pointer dereference
mount.c, 519, Xfree, assertion
bbunzip.c, 356, Dead store, overflow
expr.c, 288, Uninitialized memory, overflow
modprobe-small.c, 634, Xfree, assertion
sed.c, 1278, Case termination, pointer dereference
modutils.c, 246, Xfree, assertion
xreadlink.c, 84, Xfree, assertion
crond.c, 440, Uninitialized memory, pointer dereference
iptunnel.c, 484, Uninitialized memory, overflow
vi.c, 1119, Uninitialized memory, overflow
lineedit.c, 2026, Check stdlibfunc return, pointer dereference
modprobe-small.c, 525, Check stdlibfunc return, assertion
fbset.c, 415, Dead store, overflow
ash.c, 2624, Case termination, pointer dereference
devfsd.c, 650, Uninitialized memory, pointer dereference
arping.c, 363, Uninitialized memory, overflow
ntpd.c, 1032, Uninitialized memory, overflow
telnet.c, 656, Dead store, pointer dereference
dhcpc.c, 374, Xfree, assertion
tcpudp.c, 293, Dead store, overflow
inetd.c, 769, Xfree, assertion
hexdump.c, 201, Check stdlibfunc return, assertion
decompress_bunzip2.c, 331, Uninitialized memory, array bounds
bootchartd.c, 313, Xfree, assertion
fdisk_sgi.c, 530, Uninitialized memory, array bounds
modprobe-small.c, 815, Xfree, assertion
pwd_grp.c, 125, Double free, pointer dereference
xfuncs.c, 250, Check stdlibfunc return, pointer dereference
iplink.c, 123, Uninitialized memory, overflow
popmaildir.c, 258, Check stdlibfunc return, assertion
awk.c, 2301, Uninitialized memory, array bounds
sort.c, 192, Uninitialized memory, overflow
od_bloaty.c, 667, Check stdlibfunc return, pointer dereference
ash.c, 5746, Xfree, assertion
tftp.c, 896, Check stdlibfunc return, pointer dereference
zcip.c, 147, Uninitialized memory, overflow
dump.c, 230, Case termination, pointer dereference
inetd.c, 1677, Uninitialized memory, overflow
hush.c, 2234, Xfree, assertion
mount.c, 2156, Check stdlibfunc return, overflow
httpd.c, 733, Uninitialized memory, overflow
fsck.c, 1078, Check stdlibfunc return, pointer dereference
get_header_ar.c, 100, Uninitialized memory, pointer dereference
loadfont.c, 149, Dead store, overflow
nandwrite.c, 79, Uninitialized memory, overflow
ifupdown.c, 378, Xfree, assertion
dhcpc.c, 1435, Uninitialized memory, overflow
ash.c, 9355, Xfree, assertion
hush.c, 2790, Check stdlibfunc return, overflow
mdev.c, 1102, Check stdlibfunc return, pointer dereference
dpkg.c, 1314, Double free, assertion
pipe_progress.c, 42, Uninitialized memory, overflow
modutils.c, 27, Uninitialized memory, array bounds
devfsd.c, 624, Case termination, pointer dereference
dump.c, 618, Uninitialized memory, overflow
tls_pstm_montgomery_reduce.c, 397, Dead store, pointer dereference
login.c, 479, Uninitialized memory, overflow
powertop.c, 327, Check stdlibfunc return, overflow
dump.c, 142, Check stdlibfunc return, pointer dereference
modprobe.c, 320, Uninitialized memory, overflow
route.c, 651, Check stdlibfunc return, assertion
seq.c, 60, Case termination, pointer dereference
lineedit.c, 755, Uninitialized memory, overflow
bbunzip.c, 342, Check stdlibfunc return, overflow
netstat.c, 484, Uninitialized memory, overflow
decompress_bunzip2.c, 726, Xfree, assertion
procps.c, 199, Uninitialized memory, overflow
hash_md5_sha.c, 648, Uninitialized memory, overflow
interface.c, 882, Uninitialized memory, overflow
sed.c, 1478, Xfree, assertion
add-remove-shell.c, 107, Check stdlibfunc return, assertion
chpst.c, 253, Uninitialized memory, pointer
unzip.c, 844, Uninitialized memory, array bounds
sort.c, 496, Xfree, pointer dereference
sed.c, 193, Double free, pointer dereference
passwd.c, 99, Xfree, assertion
wget.c, 1038, Uninitialized memory, pointer dereference
correct_password.c, 84, Xfree, assertion
iplink.c, 109, Uninitialized memory, overflow
nmeter.c, 907, Uninitialized memory, pointer dereference
rpm.c, 165, Check stdlibfunc return, overflow
hush.c, 5687, Check stdlibfunc return, overflow
xargs.c, 745, Xfree, assertion
pwd.c, 37, Check stdlibfunc return, pointer dereference
ash.c, 11685, Check stdlibfunc return, overflow
crond.c, 407, Double free, pointer dereference
ipaddress.c, 318, Uninitialized memory, overflow
ps.c, 457, Uninitialized memory, pointer dereference
inetd.c, 1096, Double free, pointer dereference
awk.c, 2424, Uninitialized memory, overflow
ed.c, 628, Uninitialized memory, overflow
hexedit.c, 437, Uninitialized memory, overflow
dhcpc.c, 1148, Uninitialized memory, overflow
d6_packet.c, 147, Uninitialized memory, overflow
fsck_minix.c, 566, Uninitialized memory, overflow
lineedit.c, 1284, Xfree, assertion
date.c, 320, Dead store, overflow
hush.c, 4553, Check stdlibfunc return, overflow
pstree.c, 351, Uninitialized memory, overflow
modprobe-small.c, 649, Check stdlibfunc return, assertion
decompress_bunzip2.c, 811, Xfree, assertion
fdisk_sun.c, 461, Uninitialized memory, overflow
powertop.c, 341, Uninitialized memory, overflow
awk.c, 1750, Uninitialized memory, overflow
resize.c, 68, Uninitialized memory, overflow
sv.c, 506, Check stdlibfunc return, pointer dereference
iostat.c, 374, Check stdlibfunc return, assertion
decompress_uncompress.c, 308, Xfree, assertion
vi.c, 4134, Check stdlibfunc return, overflow
fbset.c, 456, Uninitialized memory, overflow
awk.c, 2401, Uninitialized memory, overflow
ash.c, 6555, Case termination, pointer dereference
mdev.c, 405, Uninitialized memory, pointer dereference
devfsd.c, 1237, Uninitialized memory, overflow
fdisk_osf.c, 784, Dead store, pointer dereference
nohup.c, 76, Check stdlibfunc return, pointer dereference
bzip2.c, 173, Xfree, assertion
chattr.c, 62, Check stdlibfunc return, overflow
dpkg.c, 1548, Check stdlibfunc return, assertion
powertop.c, 777, Uninitialized memory, array bounds
herror_msg.c, 25, Uninitialized memory, pointer dereference
fdisk_sun.c, 579, Uninitialized memory, overflow
decompress_uncompress.c, 307, Xfree, assertion
loop.c, 184, Uninitialized memory, pointer dereference
wget.c, 1329, Double free, assertion
dpkg.c, 1439, Uninitialized memory, overflow
fuser.c, 151, Uninitialized memory, overflow
ln.c, 144, Xfree, assertion
syslogd.c, 939, Uninitialized memory, overflow
nandwrite.c, 83, Uninitialized memory, pointer dereference
hdparm.c, 1980, Uninitialized memory, overflow
dhcpc.c, 273, Case termination, overflow
free.c, 68, Check stdlibfunc return, assertion
procps.c, 278, Double free, assertion
mdev.c, 665, Uninitialized memory, overflow
udp_io.c, 143, Uninitialized memory, overflow
fdisk_sun.c, 426, Uninitialized memory, array bounds
iproute.c, 86, Uninitialized memory, overflow
readprofile.c, 233, Uninitialized memory, NaN
mpstat.c, 599, Check stdlibfunc return, overflow
nmeter.c, 566, Uninitialized memory, pointer dereference
ash.c, 5678, Uninitialized memory, pointer dereference
man.c, 294, Uninitialized memory, overflow
init.c, 243, Uninitialized memory, overflow
lspci.c, 75, Uninitialized memory, overflow
packet.c, 24, Case termination, pointer dereference
decompress_gunzip.c, 428, Uninitialized memory, overflow
dpkg.c, 792, Xfree, assertion
stty.c, 847, Uninitialized memory, overflow
httpd.c, 1078, Dead store, pointer dereference
printenv.c, 50, Check stdlibfunc return, pointer dereference
hush.c, 5389, Xfree, assertion
isrv.c, 309, Uninitialized memory, pointer dereference
ls.c, 727, Xfree, assertion
powertop.c, 386, Uninitialized memory, overflow
wget.c, 748, Xfree, assertion
utmp.c, 23, Uninitialized memory, overflow
awk.c, 2871, Check stdlibfunc return, pointer dereference
unzip.c, 864, Uninitialized memory, overflow
makedevs.c, 299, Xfree, assertion
ed.c, 648, Check stdlibfunc return, overflow
hush.c, 10124, Double free, pointer dereference
readprofile.c, 240, Uninitialized memory, overflow
httpd.c, 2448, Check stdlibfunc return, overflow
lineedit.c, 1416, Xfree, array bounds
fdisk_sun.c, 544, Uninitialized memory, array bounds
ifplugd.c, 281, Uninitialized memory, overflow
diff.c, 648, Uninitialized memory, pointer dereference
wc.c, 226, Uninitialized memory, overflow
lspci.c, 64, Uninitialized memory, overflow
nmeter.c, 290, Uninitialized memory, overflow
nmeter.c, 887, Check stdlibfunc return, pointer dereference
od_bloaty.c, 1024, Uninitialized memory, array bounds
fsck.c, 722, Case termination, pointer dereference
arp.c, 481, Xfree, assertion
vi.c, 4121, Check stdlibfunc return, overflow
vi.c, 3239, Dead store, overflow
ash.c, 12148, Dead store, pointer dereference
traceroute.c, 1207, Xfree, assertion
passwd.c, 159, Uninitialized memory, pointer dereference
data_extract_to_command.c, 88, Uninitialized memory, pointer dereference
compress.c, 469, Uninitialized memory, array bounds
nmeter.c, 507, Uninitialized memory, pointer dereference
fsck_minix.c, 530, Uninitialized memory, overflow
loadfont.c, 489, Xfree, assertion
tls_aes.c, 380, Uninitialized memory, array bounds
dump.c, 73, Check stdlibfunc return, pointer dereference
md5_sha1_sum.c, 238, Uninitialized memory, pointer dereference
common.c, 606, Uninitialized memory, overflow
vi.c, 1269, Uninitialized memory, overflow
lineedit.c, 1423, Check stdlibfunc return, assertion
rt_names.c, 43, Uninitialized memory, pointer dereference
diff.c, 657, Uninitialized memory, pointer dereference
xconnect.c, 400, Xfree, assertion
d6_dhcpc.c, 1627, Dead store, overflow
i2c_tools.c, 188, Uninitialized memory, overflow
fdisk.c, 2392, Uninitialized memory, array bounds
diff.c, 514, Uninitialized memory, pointer dereference
date.c, 249, Uninitialized memory, overflow
getopt32.c, 572, Uninitialized memory, pointer dereference
man.c, 111, Xfree, assertion
data_extract_to_command.c, 81, Uninitialized memory, overflow
compress.c, 466, Uninitialized memory, overflow
grep.c, 847, Double free, assertion
init.c, 1161, Uninitialized memory, overflow
hush.c, 2773, Check stdlibfunc return, overflow
free.c, 113, Uninitialized memory, overflow
dpkg.c, 975, Case termination, overflow
smemcap.c, 89, Xfree, assertion
nc_bloaty.c, 471, Xfree, assertion
devfsd.c, 1685, Uninitialized memory, overflow
md5_sha1_sum.c, 231, Uninitialized memory, overflow
awk.c, 2084, Check stdlibfunc return, overflow
unicode.c, 80, Check stdlibfunc return, pointer dereference
sendmail.c, 400, Xfree, assertion
nc_bloaty.c, 328, Xfree, assertion
hush.c, 3291, Double free, pointer dereference
lineedit.c, 1978, Uninitialized memory, overflow
dpkg.c, 1927, Xfree, assertion
ash.c, 4574, Uninitialized memory, pointer dereference
fdisk.c, 2387, Uninitialized memory, array bounds
diff.c, 523, Uninitialized memory, array bounds
ifupdown.c, 1106, Xfree, assertion
pw_encrypt_md5.c, 116, Uninitialized memory, overflow
traceroute.c, 1209, Xfree, assertion
lineedit.c, 2226, Dead store, overflow
modutils.c, 64, Xfree, assertion
ntpd.c, 2344, Uninitialized memory, overflow
hush.c, 5956, Check stdlibfunc return, overflow
devfsd.c, 1127, Double free, assertion
mount.c, 558, Check stdlibfunc return, overflow
hush.c, 8065, Xfree, assertion
dump.c, 214, Case termination, pointer dereference
verror_msg.c, 49, Uninitialized memory, overflow
ash.c, 4583, Uninitialized memory, overflow
ash.c, 13645, Uninitialized memory, pointer dereference
uudecode.c, 221, Uninitialized memory, overflow
dump.c, 400, Dead store, pointer dereference
ftpd.c, 255, Xfree, assertion
nmeter.c, 747, Uninitialized memory, overflow
ed.c, 240, Case termination, overflow
hush.c, 9604, Dead store, pointer dereference
vi.c, 3710, Check stdlibfunc return, pointer dereference
update_passwd.c, 119, Dead store, overflow
mpstat.c, 960, Double free, pointer dereference
ash.c, 6194, Double free, assertion
iplink.c, 495, Uninitialized memory, overflow
vi.c, 2709, Check stdlibfunc return, overflow
decompress_gunzip.c, 1177, Uninitialized memory, overflow
auto_string.c, 18, Xfree, array bounds
telnetd.c, 511, Xfree, assertion
ash.c, 5707, Uninitialized memory, overflow
fdisk.c, 2482, Uninitialized memory, pointer dereference
runsv.c, 548, Uninitialized memory, overflow
hush.c, 3736, Xfree, assertion
makedevs.c, 230, Uninitialized memory, overflow
svlogd.c, 755, Double free, pointer dereference
cut.c, 189, Double free, assertion
vi.c, 1463, Uninitialized memory, overflow
hush.c, 3166, Uninitialized memory, overflow
awk.c, 2891, Check stdlibfunc return, pointer dereference
devfsd.c, 601, Uninitialized memory, overflow
diff.c, 910, Uninitialized memory, pointer dereference
decompress_unlzma.c, 237, Dead store, overflow
patch.c, 397, Xfree, assertion
fdisk_sgi.c, 560, Uninitialized memory, array bounds
ifupdown.c, 1305, Dead store, overflow
nmeter.c, 524, Uninitialized memory, array bounds
login.c, 273, Check stdlibfunc return, overflow
sestatus.c, 122, Uninitialized memory, array bounds
od_bloaty.c, 1228, Check stdlibfunc return, pointer dereference
dhcpc.c, 442, Uninitialized memory, overflow
hush.c, 5831, Check stdlibfunc return, overflow
reformime.c, 192, Double free, assertion
fsck.c, 496, Uninitialized memory, pointer dereference
lineedit.c, 1125, Dead store, pointer dereference
dpkg.c, 295, Check stdlibfunc return, overflow
vi.c, 1464, Uninitialized memory, overflow
awk.c, 2892, Double free, pointer dereference
mount.c, 1346, Check stdlibfunc return, overflow
lineedit.c, 2247, Uninitialized memory, overflow
data_extract_to_command.c, 125, Uninitialized memory, array bounds
crond.c, 560, Uninitialized memory, pointer dereference
ftpd.c, 685, Check stdlibfunc return, overflow
nproc.c, 37, Uninitialized memory, array bounds
httpd.c, 921, Check stdlibfunc return, assertion
ubi_tools.c, 361, Xfree, assertion
fuser.c, 311, Uninitialized memory, overflow
ipaddress.c, 545, Uninitialized memory, overflow
mpstat.c, 957, Double free, pointer dereference
whois.c, 54, Uninitialized memory, overflow
httpd.c, 1469, Check stdlibfunc return, overflow
diff.c, 702, Xfree, assertion
unzip.c, 262, Uninitialized memory, overflow
dpkg.c, 318, Check stdlibfunc return, overflow
hush.c, 4140, Double free, pointer dereference
ls.c, 533, Dead store, pointer dereference
wget.c, 1273, Check stdlibfunc return, assertion
awk.c, 718, Xfree, assertion
executable.c, 67, Check stdlibfunc return, pointer dereference
dpkg.c, 1709, Double free, assertion
ash.c, 2282, Double free, assertion
dump.c, 591, Uninitialized memory, overflow
devfsd.c, 1729, Uninitialized memory, overflow
script.c, 158, Uninitialized memory, overflow
ntpd.c, 1011, Xfree, assertion
get_header_tar.c, 119, Double free, pointer dereference
sestatus.c, 155, Uninitialized memory, array bounds
hush.c, 5976, Check stdlibfunc return, overflow
tls_pstm_sqr_comba.c, 534, Dead store, pointer dereference
vi.c, 4015, Case termination, pointer dereference
vi.c, 1219, Uninitialized memory, overflow
ipaddress.c, 538, Uninitialized memory, overflow
tls_pstm.c, 560, Dead store, pointer dereference
sed.c, 458, Case termination, overflow
inetd.c, 1130, Xfree, assertion
unzip.c, 269, Uninitialized memory, overflow
loadkmap.c, 79, Uninitialized memory, overflow
umount.c, 229, Xfree, assertion
du.c, 205, Xfree, assertion
sysctl.c, 118, Check stdlibfunc return, overflow
uuencode.c, 143, Uninitialized memory, pointer dereference
compress.c, 407, Uninitialized memory, array bounds
wget.c, 805, Xfree, assertion
runsv.c, 416, Case termination, pointer dereference
unzip.c, 380, Xfree, assertion
pw_encrypt_md5.c, 151, Uninitialized memory, array bounds
touch.c, 127, Dead store, overflow
powertop.c, 442, Uninitialized memory, pointer dereference
data_extract_to_command.c, 111, Uninitialized memory, pointer dereference
copyfd.c, 109, Dead store, overflow
hwclock.c, 281, Uninitialized memory, overflow
sed.c, 354, Xfree, assertion
wget.c, 519, Check stdlibfunc return, pointer dereference
hush.c, 3057, Xfree, assertion
httpd.c, 593, Dead store, pointer dereference
mail.c, 54, Uninitialized memory, array bounds
last.c, 150, Case termination, overflow
powertop.c, 855, Uninitialized memory, overflow
last_fancy.c, 198, Uninitialized memory, overflow
svlogd.c, 727, Uninitialized memory, overflow
umount.c, 236, Double free, assertion
cal.c, 276, Dead store, overflow
mkfs_ext2.c, 368, Uninitialized memory, overflow
lzop.c, 757, Xfree, assertion
pw_encrypt_md5.c, 158, Uninitialized memory, overflow
fsck.c, 318, Check stdlibfunc return, overflow
data_extract_to_command.c, 96, Uninitialized memory, pointer dereference
crond.c, 559, Uninitialized memory, pointer dereference
ntpd.c, 1372, Uninitialized memory, array bounds
nmeter.c, 451, Uninitialized memory, overflow
bootchartd.c, 295, Xfree, assertion
hush.c, 7238, Double free, assertion
telnetd.c, 395, Uninitialized memory, overflow
ipneigh.c, 119, Uninitialized memory, overflow
