Filename, Line #, TypeChef-Type, .\busybox_1_28_0_cbmc.json-Type
svlogd.c, 480, Uninitialized memory, pointer dereference
unicode.c, 82, Check stdlibfunc return, pointer dereference
iproute.c, 295, Uninitialized memory, overflow
hfs.c, 157, Uninitialized memory, overflow
decompress_gunzip.c, 453, Uninitialized memory, pointer dereference
lineedit.c, 1543, Xfree, assertion
od_bloaty.c, 1040, Uninitialized memory, array bounds
ash.c, 4572, Uninitialized memory, pointer dereference
which.c, 36, Check stdlibfunc return, pointer dereference
diff.c, 521, Uninitialized memory, array bounds
iplink.c, 144, Uninitialized memory, overflow
wget.c, 329, Check stdlibfunc return, overflow
ash.c, 6598, Case termination, pointer dereference
start_stop_daemon.c, 284, Check stdlibfunc return, assertion
awk.c, 2011, Check stdlibfunc return, overflow
mpstat.c, 827, Check stdlibfunc return, assertion
lineedit.c, 1328, Uninitialized memory, pointer dereference
od_bloaty.c, 822, Uninitialized memory, overflow
match_fstype.c, 33, Check stdlibfunc return, overflow
mpstat.c, 629, Xfree, assertion
nmeter.c, 528, Uninitialized memory, overflow
xatonum_template.c, 63, Dead store, pointer dereference
svlogd.c, 505, Uninitialized memory, overflow
iproute.c, 1089, Uninitialized memory, pointer dereference
ash.c, 3868, Double free, assertion
ftpd.c, 327, Xfree, assertion
shell_common.c, 278, Check stdlibfunc return, overflow
svlogd.c, 756, Uninitialized memory, pointer dereference
sort.c, 332, Xfree, pointer dereference
wall.c, 59, Xfree, assertion
ls.c, 1245, Xfree, assertion
man.c, 127, Check stdlibfunc return, overflow
md5_sha1_sum.c, 326, Xfree, assertion
addgroup.c, 107, Xfree, assertion
sv.c, 591, Case termination, overflow
fdisk_sgi.c, 565, Uninitialized memory, array bounds
fdisk_sun.c, 497, Uninitialized memory, overflow
parse_config.c, 213, Dead store, pointer dereference
common.c, 188, Uninitialized memory, pointer dereference
nc.c, 186, Dead store, overflow
nmeter.c, 523, Uninitialized memory, pointer dereference
sestatus.c, 119, Uninitialized memory, array bounds
ntpd.c, 484, Uninitialized memory, overflow
mount.c, 551, Check stdlibfunc return, overflow
tar.c, 747, Check stdlibfunc return, assertion
runsv.c, 546, Uninitialized memory, overflow
traceroute.c, 1048, Xfree, assertion
stty.c, 866, Uninitialized memory, overflow
fdisk.c, 3168, Case termination, pointer dereference
lineedit.c, 2131, Uninitialized memory, overflow
dos2unix.c, 104, Xfree, assertion
iprule.c, 66, Uninitialized memory, overflow
xfuncs_printf.c, 533, Uninitialized memory, pointer dereference
crond.c, 489, Uninitialized memory, pointer dereference
vi.c, 1461, Uninitialized memory, overflow
unzip.c, 798, Xfree, assertion
ll_addr.c, 60, Check stdlibfunc return, overflow
xz_dec_stream.c, 633, Case termination, pointer dereference
decompress_gunzip.c, 1145, Uninitialized memory, pointer dereference
httpd.c, 789, Uninitialized memory, pointer dereference
start_stop_daemon.c, 227, Uninitialized memory, overflow
sort.c, 433, Check stdlibfunc return, pointer dereference
pstree.c, 277, Uninitialized memory, overflow
acpid.c, 211, Uninitialized memory, pointer dereference
vi.c, 2121, Check stdlibfunc return, overflow
crond.c, 602, Check stdlibfunc return, assertion
rev.c, 113, Check stdlibfunc return, assertion
common.c, 608, Uninitialized memory, overflow
vi.c, 1239, Uninitialized memory, overflow
bootchartd.c, 394, Uninitialized memory, overflow
ash.c, 10253, Dead store, pointer dereference
syslogd.c, 1079, Double free, pointer dereference
nmeter.c, 840, Uninitialized memory, pointer dereference
httpd.c, 2175, Check stdlibfunc return, overflow
ifupdown.c, 1514, Xfree, assertion
ipaddress.c, 178, Uninitialized memory, pointer dereference
comm.c, 113, Check stdlibfunc return, assertion
modprobe.c, 393, Check stdlibfunc return, overflow
tar.c, 987, Check stdlibfunc return, overflow
dpkg.c, 941, Check stdlibfunc return, assertion
login.c, 576, Xfree, assertion
vi.c, 2098, Check stdlibfunc return, overflow
mpstat.c, 959, Double free, pointer dereference
fsck.c, 491, Uninitialized memory, pointer dereference
i2c_tools.c, 701, Uninitialized memory, overflow
diff.c, 700, Xfree, assertion
wc.c, 214, Uninitialized memory, overflow
common.c, 372, Xfree, assertion
runsv.c, 564, Uninitialized memory, overflow
readprofile.c, 267, Uninitialized memory, overflow
hush.c, 5759, Xfree, assertion
ash.c, 5905, Check stdlibfunc return, pointer dereference
arping.c, 325, Uninitialized memory, overflow
awk.c, 2336, Xfree, assertion
nmeter.c, 722, Uninitialized memory, overflow
pgrep.c, 243, Xfree, assertion
getopt.c, 263, Check stdlibfunc return, overflow
